"term","freq","prob"
"crazy",926,0.000230997061647528
"yourself",926,0.000230997061647528
"asked",916,0.000228502492947231
"bed",916,0.000228502492947231
"cause",915,0.000228253036077201
"sweet",915,0.000228253036077201
"rest",912,0.000227504665467112
"cut",909,0.000226756294857023
"write",907,0.000226257381116963
"men",901,0.000224760639896785
"outside",901,0.000224760639896785
"group",900,0.000224511183026755
"knew",900,0.000224511183026755
"sounds",899,0.000224261726156725
"ur",898,0.000224012269286696
"light",897,0.000223762812416666
"easy",896,0.000223513355546636
"experience",896,0.000223513355546636
"matter",887,0.000221268243716369
"christmas",882,0.00022002095936622
"rather",882,0.00022002095936622
"felt",881,0.00021977150249619
"close",878,0.000219023131886101
"decided",876,0.000218524218146042
"b",869,0.000216778020055833
"behind",866,0.000216029649445744
"saturday",865,0.000215780192575715
"order",864,0.000215530735705685
"paper",864,0.000215530735705685
"turn",864,0.000215530735705685
"public",861,0.000214782365095596
"walk",861,0.000214782365095596
"short",859,0.000214283451355536
"isn't",858,0.000214033994485506
"funny",856,0.000213535080745447
"media",856,0.000213535080745447
"sunday",856,0.000213535080745447
"american",853,0.000212786710135358
"self",852,0.000212537253265328
"ass",850,0.000212038339525269
"boy",847,0.000211289968915179
"move",845,0.00021079105517512
"future",843,0.000210292141435061
"interesting",842,0.000210042684565031
"loved",842,0.000210042684565031
"definitely",838,0.000209044857084912
"running",836,0.000208545943344852
"break",835,0.000208296486474823
"dinner",835,0.000208296486474823
"hell",833,0.000207797572734763
"question",833,0.000207797572734763
"body",831,0.000207298658994704
"country",831,0.000207298658994704
"yesterday",831,0.000207298658994704
"art",830,0.000207049202124674
"event",829,0.000206799745254644
"plan",828,0.000206550288384615
"eyes",827,0.000206300831514585
"local",826,0.000206051374644555
"living",825,0.000205801917774525
"woman",822,0.000205053547164436
"card",817,0.000203806262814288
"fuck",815,0.000203307349074228
"gave",813,0.000202808435334169
"lots",813,0.000202808435334169
"wonderful",810,0.00020206006472408
"send",808,0.00020156115098402
"four",807,0.00020131169411399
"damn",805,0.000200812780373931
"child",802,0.000200064409763842
"store",802,0.000200064409763842
"film",801,0.000199814952893812
"gone",801,0.000199814952893812
"picture",801,0.000199814952893812
"monday",800,0.000199565496023782
"series",800,0.000199565496023782
"waiting",799,0.000199316039153752
"p",796,0.000198567668543663
"won't",796,0.000198567668543663
"fan",793,0.000197819297933574
"ill",793,0.000197819297933574
"learn",793,0.000197819297933574
"town",787,0.000196322556713396
"tv",787,0.000196322556713396
"games",784,0.000195574186103307
"seeing",780,0.000194576358623188
"office",779,0.000194326901753158
"wasn't",779,0.000194326901753158
"green",778,0.000194077444883128
"email",777,0.000193827988013098
"company",776,0.000193578531143069
"project",775,0.000193329074273039
"front",774,0.000193079617403009
"several",774,0.000193079617403009
"understand",774,0.000193079617403009
"mother",772,0.00019258070366295
"pick",771,0.00019233124679292
"rock",771,0.00019233124679292
"wants",771,0.00019233124679292
"happen",770,0.00019208178992289
"ones",767,0.000191333419312801
"especially",766,0.000191083962442771
"facebook",765,0.000190834505572742
"needed",762,0.000190086134962653
"students",762,0.000190086134962653
"meeting",758,0.000189088307482534
"okay",757,0.000188838850612504
"page",752,0.000187591566262355
"visit",750,0.000187092652522296
"haven't",749,0.000186843195652266
"deal",743,0.000185346454432088
"fall",741,0.000184847540692028
"law",739,0.000184348626951969
"pay",739,0.000184348626951969
"she's",739,0.000184348626951969
"national",737,0.000183849713211909
"given",733,0.00018285188573179
"john",730,0.000182103515121701
"fans",729,0.000181854058251672
"super",728,0.000181604601381642
"history",727,0.000181355144511612
"area",725,0.000180856230771553
